,response,context,context/0,context/1,context/2,context/3,context/4,context/5,context/6,context/7,context/8
773,This way.,Over there.,Where?,Over there.,I see no strawberries.,"Come on, Buckbeak. Come on.",And all the strawberries.,"Oh, yes. Indeed, indeed.",Professor Dippet had that ling planted when he was headmaster.,What am I supposed to see?,Look beyond the rocks.
774,This way.,Come on.,"You'll find no small glasses in this house, professor.",Thank you.,"Oh, executioner, your services are no longer required.","Meanwhile, I'd like a nice cup of tea or a large brandy.","Well, search the skies, if you must, minister.",We must search the grounds.,"Well, well.",Right.,You've been with us all the time.
775,"This way, now.",This way.,Come on.,"You'll find no small glasses in this house, professor.",Thank you.,"Oh, executioner, your services are no longer required.","Meanwhile, I'd like a nice cup of tea or a large brandy.","Well, search the skies, if you must, minister.",We must search the grounds.,"Well, well.",Right.
776,Now what?,"This way, now.",This way.,Come on.,"You'll find no small glasses in this house, professor.",Thank you.,"Oh, executioner, your services are no longer required.","Meanwhile, I'd like a nice cup of tea or a large brandy.","Well, search the skies, if you must, minister.",We must search the grounds.,"Well, well."
777,How?,We save Sirius.,Now what?,"This way, now.",This way.,Come on.,"You'll find no small glasses in this house, professor.",Thank you.,"Oh, executioner, your services are no longer required.","Meanwhile, I'd like a nice cup of tea or a large brandy.","Well, search the skies, if you must, minister."
778,And now we wait.,And Snape's coming.,Immobulus!,Look. It's Lupin.,No idea.,How?,We save Sirius.,Now what?,"This way, now.",This way.,Come on.
779,Yeah.,At least someone's enjoying himself.,And now we wait.,And now we wait.,And Snape's coming.,Immobulus!,Look. It's Lupin.,No idea.,How?,We save Sirius.,Now what?
780,Hermione?,Yeah.,At least someone's enjoying himself.,And now we wait.,And now we wait.,And Snape's coming.,Immobulus!,Look. It's Lupin.,No idea.,How?,We save Sirius.
781,"Before, down by the lake, when I was with Sirius I did see someone.",Yeah?,Hermione?,Yeah.,At least someone's enjoying himself.,And now we wait.,And now we wait.,And Snape's coming.,Immobulus!,Look. It's Lupin.,No idea.
782,That someone made the dementors go away.,"Before, down by the lake, when I was with Sirius I did see someone.",Yeah?,Hermione?,Yeah.,At least someone's enjoying himself.,And now we wait.,And now we wait.,And Snape's coming.,Immobulus!,Look. It's Lupin.
783,It was my dad.,According to him only a really powerful wizard could have conjured it.,I heard Snape telling Dumbledore.,With a Patronus.,That someone made the dementors go away.,"Before, down by the lake, when I was with Sirius I did see someone.",Yeah?,Hermione?,Yeah.,At least someone's enjoying himself.,And now we wait.
784,It was my dad conjured the Patronus.,It was my dad.,According to him only a really powerful wizard could have conjured it.,I heard Snape telling Dumbledore.,With a Patronus.,That someone made the dementors go away.,"Before, down by the lake, when I was with Sirius I did see someone.",Yeah?,Hermione?,Yeah.,At least someone's enjoying himself.
785,Dead. I know.,"HARRY, but your dad's...",It was my dad conjured the Patronus.,It was my dad.,According to him only a really powerful wizard could have conjured it.,I heard Snape telling Dumbledore.,With a Patronus.,That someone made the dementors go away.,"Before, down by the lake, when I was with Sirius I did see someone.",Yeah?,Hermione?
786,I'm just telling you what I saw.,Dead. I know.,"HARRY, but your dad's...",It was my dad conjured the Patronus.,It was my dad.,According to him only a really powerful wizard could have conjured it.,I heard Snape telling Dumbledore.,With a Patronus.,That someone made the dementors go away.,"Before, down by the lake, when I was with Sirius I did see someone.",Yeah?
787,You see Sirius talking to me there?,Here we come.,I'm just telling you what I saw.,Dead. I know.,"HARRY, but your dad's...",It was my dad conjured the Patronus.,It was my dad.,According to him only a really powerful wizard could have conjured it.,I heard Snape telling Dumbledore.,With a Patronus.,That someone made the dementors go away.
788,He's asking me to come live with him.,You see Sirius talking to me there?,Here we come.,I'm just telling you what I saw.,Dead. I know.,"HARRY, but your dad's...",It was my dad conjured the Patronus.,It was my dad.,According to him only a really powerful wizard could have conjured it.,I heard Snape telling Dumbledore.,With a Patronus.
789,"When we free him, I'll never have to go back to the Dursleys'.",That's great.,He's asking me to come live with him.,You see Sirius talking to me there?,Here we come.,I'm just telling you what I saw.,Dead. I know.,"HARRY, but your dad's...",It was my dad conjured the Patronus.,It was my dad.,According to him only a really powerful wizard could have conjured it.
790,It'll just be me and him.,"When we free him, I'll never have to go back to the Dursleys'.",That's great.,He's asking me to come live with him.,You see Sirius talking to me there?,Here we come.,I'm just telling you what I saw.,Dead. I know.,"HARRY, but your dad's...",It was my dad conjured the Patronus.,It was my dad.
791,We could live in the country someplace you can see the sky.,It'll just be me and him.,"When we free him, I'll never have to go back to the Dursleys'.",That's great.,He's asking me to come live with him.,You see Sirius talking to me there?,Here we come.,I'm just telling you what I saw.,Dead. I know.,"HARRY, but your dad's...",It was my dad conjured the Patronus.
792,He'll like that after all those years in Azkaban.,We could live in the country someplace you can see the sky.,It'll just be me and him.,"When we free him, I'll never have to go back to the Dursleys'.",That's great.,He's asking me to come live with him.,You see Sirius talking to me there?,Here we come.,I'm just telling you what I saw.,Dead. I know.,"HARRY, but your dad's..."
793,Let's go.,Run! Run!,HARRY!,He'll like that after all those years in Azkaban.,We could live in the country someplace you can see the sky.,It'll just be me and him.,"When we free him, I'll never have to go back to the Dursleys'.",That's great.,He's asking me to come live with him.,You see Sirius talking to me there?,Here we come.
794,What are you doing?,Let's go.,Run! Run!,HARRY!,He'll like that after all those years in Azkaban.,We could live in the country someplace you can see the sky.,It'll just be me and him.,"When we free him, I'll never have to go back to the Dursleys'.",That's great.,He's asking me to come live with him.,You see Sirius talking to me there?
795,Thanks.,Saving your life.,What are you doing?,Let's go.,Run! Run!,HARRY!,He'll like that after all those years in Azkaban.,We could live in the country someplace you can see the sky.,It'll just be me and him.,"When we free him, I'll never have to go back to the Dursleys'.",That's great.
796,Great. Now he's coming for us.,Thanks.,Saving your life.,What are you doing?,Let's go.,Run! Run!,HARRY!,He'll like that after all those years in Azkaban.,We could live in the country someplace you can see the sky.,It'll just be me and him.,"When we free him, I'll never have to go back to the Dursleys'."
797,Poor Professor Lupin's having a really tough night.,That was so scary.,"Yeah, I didn't think about that. Run!",Great. Now he's coming for us.,Thanks.,Saving your life.,What are you doing?,Let's go.,Run! Run!,HARRY!,He'll like that after all those years in Azkaban.
798,Sirius. Come on!,Poor Professor Lupin's having a really tough night.,That was so scary.,"Yeah, I didn't think about that. Run!",Great. Now he's coming for us.,Thanks.,Saving your life.,What are you doing?,Let's go.,Run! Run!,HARRY!
799,Don't worry.,This is horrible.,Sirius. Come on!,Poor Professor Lupin's having a really tough night.,That was so scary.,"Yeah, I didn't think about that. Run!",Great. Now he's coming for us.,Thanks.,Saving your life.,What are you doing?,Let's go.
800,My dad will come.,Don't worry.,This is horrible.,Sirius. Come on!,Poor Professor Lupin's having a really tough night.,That was so scary.,"Yeah, I didn't think about that. Run!",Great. Now he's coming for us.,Thanks.,Saving your life.,What are you doing?
801,He'll conjure the Patronus.,My dad will come.,Don't worry.,This is horrible.,Sirius. Come on!,Poor Professor Lupin's having a really tough night.,That was so scary.,"Yeah, I didn't think about that. Run!",Great. Now he's coming for us.,Thanks.,Saving your life.
802,Any minute now.,He'll conjure the Patronus.,My dad will come.,Don't worry.,This is horrible.,Sirius. Come on!,Poor Professor Lupin's having a really tough night.,That was so scary.,"Yeah, I didn't think about that. Run!",Great. Now he's coming for us.,Thanks.
803,Right there. You'll see.,Any minute now.,He'll conjure the Patronus.,My dad will come.,Don't worry.,This is horrible.,Sirius. Come on!,Poor Professor Lupin's having a really tough night.,That was so scary.,"Yeah, I didn't think about that. Run!",Great. Now he's coming for us.
804,"Don't worry, he will.",No one's coming.,"HARRY, listen to me.",Right there. You'll see.,Any minute now.,He'll conjure the Patronus.,My dad will come.,Don't worry.,This is horrible.,Sirius. Come on!,Poor Professor Lupin's having a really tough night.
805,He will come.,"Don't worry, he will.",No one's coming.,"HARRY, listen to me.",Right there. You'll see.,Any minute now.,He'll conjure the Patronus.,My dad will come.,Don't worry.,This is horrible.,Sirius. Come on!
806,Sirius.,He will come.,"Don't worry, he will.",No one's coming.,"HARRY, listen to me.",Right there. You'll see.,Any minute now.,He'll conjure the Patronus.,My dad will come.,Don't worry.,This is horrible.
807,Expecto Patronum!,HARRY!,You're dying both of you.,Sirius.,He will come.,"Don't worry, he will.",No one's coming.,"HARRY, listen to me.",Right there. You'll see.,Any minute now.,He'll conjure the Patronus.
808,"You were right, Hermione.",Expecto Patronum!,HARRY!,You're dying both of you.,Sirius.,He will come.,"Don't worry, he will.",No one's coming.,"HARRY, listen to me.",Right there. You'll see.,Any minute now.
809,It wasn't my dad I saw earlier. It was me!,"You were right, Hermione.",Expecto Patronum!,HARRY!,You're dying both of you.,Sirius.,He will come.,"Don't worry, he will.",No one's coming.,"HARRY, listen to me.",Right there. You'll see.
810,I saw myself conjuring the Patronus before.,It wasn't my dad I saw earlier. It was me!,"You were right, Hermione.",Expecto Patronum!,HARRY!,You're dying both of you.,Sirius.,He will come.,"Don't worry, he will.",No one's coming.,"HARRY, listen to me."
811,"I knew I could do it this time because well, I had already done it.",I saw myself conjuring the Patronus before.,It wasn't my dad I saw earlier. It was me!,"You were right, Hermione.",Expecto Patronum!,HARRY!,You're dying both of you.,Sirius.,He will come.,"Don't worry, he will.",No one's coming.
812,Does that make sense?,"I knew I could do it this time because well, I had already done it.",I saw myself conjuring the Patronus before.,It wasn't my dad I saw earlier. It was me!,"You were right, Hermione.",Expecto Patronum!,HARRY!,You're dying both of you.,Sirius.,He will come.,"Don't worry, he will."
813,I want to go with you.,I'll be forever grateful for this to both of you.,Bombarda!,No. But I don't like flying...!,Does that make sense?,"I knew I could do it this time because well, I had already done it.",I saw myself conjuring the Patronus before.,It wasn't my dad I saw earlier. It was me!,"You were right, Hermione.",Expecto Patronum!,HARRY!
814,But you're innocent.,And besides you're meant to be here.,"For some time, my life will be too unpredictable.","One day, perhaps.",I want to go with you.,I'll be forever grateful for this to both of you.,Bombarda!,No. But I don't like flying...!,Does that make sense?,"I knew I could do it this time because well, I had already done it.",I saw myself conjuring the Patronus before.
